Q3-1,00541,FENTON FORD,CAMDEN,NY,7:00 AM,7:00 AM,13316
Q3-2,00693,ROMANO FORD,FAYETTEVILLE,NY,7:00 AM,7:00 AM,13066
Q3-3,10207,HERITAGE LINCOLN,SYRACUSE,NY,7:00 AM,7:00 AM,13204
Q3-4,00536,DAVE PIRRO FD INC,SKANEATELES,NY,8:30 AM,8:30 AM,13152
Q3-5,11202,BURDICK LINCOLN,CICERO,NY,7:30 AM,7:30 AM,13039
Q3-6,00507,BURDICK FORD INC,CENTRAL SQ,NY,7:00 AM,7:00 AM,13036
Q3-7,04059,F.X.CAPRARA FORD,PULASKI,NY,7:00 AM,7:00 AM,13142
Q3-8,00537,FUCCILLO FORD INC,ADAMS,NY,7:00 AM,7:00 AM,13605
Q3-9,00548,CASKINETTE'S LOFINK,CARTHAGE,NY,7:30 AM,7:30 AM,13619
Q3-10,00637,NORTZ & VIRKLERIN,LOWVILLE,NY,9:00 AM,9:00 AM,13367
Q3-11,07464,COOPER FORD,RICHFIELD SP,NY,7:00 AM,7:00 AM,13439
Q3-12,01397,ROYAL FORD MOTORS,COOPERSTOWN,NY,7:00 AM,7:00 AM,13326
Q3-13,07347,BOKAN FORD,SAINT ALBANS,VT,8:00 AM,8:00 AM,05478
Q3-14,09058,E J BARRETTE-SONS I,SWANTON,VT,9:00 AM,9:00 AM,05488
Q3-15,00716,RILEY FORD INC,CHAZY,NY,10:00 AM,10:00 AM,12921
Q3-16,04097,PLATTSBURGH FORD INC,PLATTSBURGH,NY,9:00 AM,9:00 AM,12901
Q3-17,00575,EGGLEFIELD BROS INC,ELIZABETHTWN,NY,8:00 AM,8:00 AM,12932
Q3-18,03611,"WARREN FORD, INC",WARRENSBURG,NY,7:00 AM,7:00 AM,12885
Q3-19,09004,LAMOILLE VALLEY FORD,HARDWICK,VT,7:00 AM,7:00 AM,05843
Q3-20,06029,"TWIN STATE FORD, INC",ST JOHNSBURY,VT,7:00 AM,7:00 AM,05819
Q3-21,09002,HAYES FORD INC,NEWPORT,VT,8:00 AM,8:00 AM,05855
Q3-22,09028,G STONE MOTORS INC,MIDDLEBURY,VT,8:00 AM,8:00 AM,05753
Q3-23,09902,FORMULA FORD LINCOLN,RUTLAND,VT,9:00 AM,9:00 AM,05701
Q3-24,08868,JOHN C STEWART-SON,CUTTINGSVILL,VT,8:00 AM,8:00 AM,05738
Q3-25,09056,TED GREEN FD INC,STOCKBRIDGE,VT,7:00 AM,7:00 AM,05772
Q3-26,09022,GATEWAY MTRS INC,WHITE RVR JC,VT,7:00 AM,7:00 AM,05001
Q3-27,04830,LEBANON FORD,LEBANON,NH,7:00 AM,7:00 AM,03766
Q3-28,06595,FAITH'S FORD,WESTMINSTER,VT,7:00 AM,7:00 AM,05158
Q3-29,09231,FAITH'S FORD,BRATTLEBORO,VT,7:00 AM,7:00 AM,05301
Q3-30,09655,MONADNOCK FORD,SWANZEY,NH,7:00 AM,7:00 AM,03446
Q3-31,01660,HILLSBORO FORD INC,HILLSBORO,NH,8:00 AM,8:00 AM,03244
Q3-32,08902,AUTOSERV OF TILTON,TILTON,NH,7:00 AM,7:00 AM,03276
Q3-33,08956,MEREDITH MOTOR CO,PLYMOUTH,NH,7:30 AM,7:30 AM,03264
Q3-34,09172,MCFARLAND FD SLS INC,EXETER,NH,7:00 AM,7:00 AM,03833
Q3-35,08812,HAMPTON FD INC,N HAMPTON,NH,7:00 AM,7:00 AM,03862
Q3-36,02803,PORTSMOUTH USED CAR,PORTSMOUTH,NH,7:00 AM,7:00 AM,03801
Q3-37,08986,BILL DUBE FORD,DOVER,NH,8:00 AM,8:00 AM,03820
Q3-38,01517,ROCHESTER FORD,ROCHESTER,NH,7:00 AM,7:00 AM,03867
Q3-39,09587,KEY FORD OF YORK,YORK,ME,7:00 AM,7:00 AM,03909
Q3-40,01626,ARUNDEL FORD,ARUNDEL,ME,7:30 AM,7:30 AM,04046
Q3-41,06943,PRIME FORD,SACO,ME,7:00 AM,7:00 AM,04072
